Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 12, 7, 8, 1)",260,0.07549823075532912,0.31721657514572144,0.09736377745866777,0.11820396780967712
"(7, 7, 9, 12, 1)",261,0.07888960838317871,0.2412571012973785,0.10431346297264099,0.10757597535848618
"(7, 7, 8, 14, 1)",261,0.07784600555896759,0.2296033203601837,0.09340612590312958,0.10465763509273528
"(7, 10, 15, 1)",261,0.07817186415195465,0.3402143716812134,0.09814861416816713,0.1244683489203453
"(7, 9, 9, 9, 1)",262,0.07682713866233826,0.2539268732070923,0.0945015549659729,0.10811638087034224
"(7, 9, 7, 7, 7, 1)",262,0.07451098412275314,0.3629757761955261,0.10277109593153,0.12547539174556732
"(7, 7, 9, 7, 7, 1)",262,0.07757285237312317,0.2784476578235626,0.10321985930204393,0.11306241154670715
"(7, 7, 7, 9, 7, 1)",262,0.07614284008741379,0.20598511397838595,0.10119632631540296,0.0990828052163124
"(7, 7, 11, 9, 1)",262,0.07840564101934433,0.2337497621774673,0.098614901304245,0.10585108399391174
"(7, 8, 7, 8, 7, 1)",262,0.08560992777347565,0.2178620994091034,0.10031165927648544,0.10897568613290788
"(7, 7, 8, 8, 7, 1)",263,0.07847660779953003,0.294985294342041,0.0919329971075058,0.116728276014328
"(7, 11, 7, 10, 1)",263,0.07621096819639206,0.22905856370925906,0.0954507514834404,0.10321524739265442
"(7, 8, 7, 15, 1)",263,0.07663167268037796,0.3743346631526947,0.09732389450073242,0.1292283982038498
"(7, 9, 8, 11, 1)",263,0.0789872407913208,0.2548263669013977,0.09718513488769533,0.1100536659359932
"(7, 8, 10, 9, 1)",263,0.07766592502593994,0.2495640516281128,0.10696135461330414,0.10803596675395966
"(7, 8, 8, 7, 7, 1)",263,0.07803013920783998,0.2574828267097473,0.09702792763710022,0.10973507910966873
"(7, 7, 23, 1)",264,0.07917787879705429,0.2684963047504425,0.09762079268693924,0.11262574791908266
"(7, 7, 12, 8, 1)",265,0.0762467011809349,0.3788139820098877,0.10523760318756104,0.12970294058322904
"(7, 12, 12, 1)",265,0.07658955454826355,0.4420000016689301,0.09405259042978288,0.14114850759506226
