Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 2, 2, 1, 5, 1, 1)",43,0.30790936946868896,0.16572198271751404,0.03358833864331245,0.4037929475307465
"(7, 3, 1, 1, 4, 1)",43,0.3364206850528717,0.7613736391067505,0.060954276472330086,0.4415848255157471
"(7, 2, 3, 2, 1, 2, 1)",43,0.2933625876903534,0.22013425827026367,0.04339751973748207,0.35798805952072144
"(7, 2, 3, 3, 1, 1)",43,0.3084336519241333,0.21313457190990448,0.040191829204559326,0.4167818129062653
"(7, 2, 2, 5, 1)",43,0.3060668408870697,0.3540039658546448,0.09472870826721193,0.384301096200943
"(7, 3, 2, 1, 2, 1, 1)",44,0.3027925789356232,0.3244703710079193,0.05076742917299271,0.3868143260478973
"(7, 2, 2, 1, 6, 1)",44,0.3094636797904968,0.2286482751369477,0.04155590757727623,0.4276316463947296
"(7, 2, 3, 1, 4, 1, 1)",44,0.3010208606719971,0.3735437393188477,0.07110196352005005,0.43901267647743225
"(7, 2, 3, 2, 2, 1, 1)",44,0.3046422898769379,0.29362404346466064,0.028961487114429474,0.3848355412483215
"(7, 2, 2, 2, 1, 4, 1)",44,0.3068801164627075,0.2084448039531708,0.03717735409736633,0.3945803344249725
"(7, 3, 1, 5, 1)",44,0.29629024863243103,0.23289315402507785,0.04710819944739342,0.3974141180515289
"(7, 2, 1, 8, 1)",44,0.3117310106754303,0.2428969442844391,0.07521692663431168,0.3528538644313812
"(7, 3, 2, 1, 1, 2, 1)",44,0.3069513738155365,0.3298527002334595,0.08528406918048859,0.3532382845878601
"(7, 3, 3, 1, 1, 1)",44,0.3029862344264984,0.1517050415277481,0.03759954497218132,0.38321420550346375
"(7, 2, 5, 1, 2, 1)",44,0.2980375587940216,0.21106570959091187,0.035930272191762924,0.3609340786933899
"(7, 4, 1, 2, 1)",44,0.2937164008617401,0.21207115054130554,0.033322472125291824,0.364660769701004
"(7, 2, 3, 1, 1, 4, 1)",44,0.3113924860954285,0.11144228279590608,0.028876388445496563,0.4039356708526611
"(7, 2, 1, 5, 2, 1)",44,0.3019923269748688,0.2706539034843445,0.03607519343495369,0.3762929439544678
"(7, 2, 2, 3, 2, 1, 1)",44,0.3159400820732117,0.2234356254339218,0.07251930236816406,0.414669930934906
"(7, 2, 1, 2, 5, 1)",44,0.2981882095336914,0.2948693037033081,0.05347118154168129,0.40062955021858215
"(7, 2, 1, 7, 1, 1, 1)",45,0.307356059551239,0.14389142394065854,0.07082636654376984,0.3911841511726379
"(7, 2, 1, 4, 1, 4, 1)",45,0.3234683871269226,0.5678148865699768,0.0953928530216217,0.3659584820270538
"(7, 2, 3, 3, 1, 1, 1)",45,0.31147971749305725,0.195803627371788,0.05632733926177025,0.36348599195480347
"(7, 2, 2, 3, 1, 3, 1)",45,0.3118909001350403,0.25088566541671753,0.05158159136772157,0.4251221716403961
"(7, 2, 2, 2, 4, 1)",45,0.3035566806793213,0.22652898728847504,0.05091604962944984,0.3661866188049317
"(7, 2, 6, 1, 1, 1)",45,0.3182539641857147,0.22047045826911926,0.10116589069366456,0.3701536953449249
"(7, 2, 1, 1, 7, 1, 1)",45,0.3181689381599426,0.2623685002326965,0.04098394513130188,0.4095815420150757
"(7, 2, 2, 5, 1, 1)",45,0.3121175169944763,0.5603388547897339,0.040124814957380295,0.4246205389499664
"(7, 2, 1, 1, 1, 7, 1)",45,0.7072290778160095,0.4341876208782196,0.5803638100624084,0.981131672859192
"(7, 2, 4, 2, 1, 1, 1)",45,0.3160386383533478,0.20006980001926425,0.10267654806375504,0.3709371685981751
"(7, 3, 1, 1, 1, 4, 1)",45,0.2962760925292969,0.23464810848236084,0.08340698480606079,0.3749507069587708
"(7, 2, 1, 2, 1, 6, 1)",45,0.2927508652210236,0.1666276901960373,0.0391601212322712,0.3580552637577057
"(7, 3, 1, 2, 1, 3, 1)",45,0.30613973736763,0.1717379242181778,0.0844503864645958,0.3824675679206848
"(7, 2, 4, 1, 1, 3, 1)",45,0.7138289809226991,0.5817849040031433,0.36738944053649897,0.9832589626312256
